
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2026-05-29T07:18:00.911+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Starting SearchServiceApplicationKt using Java 17.0.2 with PID 9616 (C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service\build\libs\bible-search-service.jar started by PC in C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service)
2026-05-29T07:18:00.924+08:00 DEBUG 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Running with Spring Boot v3.2.2, Spring v6.1.3
2026-05-29T07:19:01.556+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Esdras: 434 verses (total 23673)
2026-05-29T07:19:01.700+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] I Maccabees: 924 verses (total 24597)
2026-05-29T07:19:01.837+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] II Maccabees: 555 verses (total 25152)
2026-05-29T07:19:01.867+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] III Maccabees: 228 verses (total 25380)
2026-05-29T07:19:01.968+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] IV Maccabees: 479 verses (total 25859)
2026-05-29T07:19:02.039+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Judith: 340 verses (total 26199)
2026-05-29T07:19:02.084+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Odes: 275 verses (total 26474)
2026-05-29T07:19:02.088+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Prayer of Azariah: 0 verses (total 26474)
2026-05-29T07:19:02.092+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Prayer of Manasses: 0 verses (total 26474)
2026-05-29T07:19:02.175+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Psalms of Solomon: 293 verses (total 26767)
2026-05-29T07:19:02.316+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Sirach: 1366 verses (total 28133)
2026-05-29T07:19:02.322+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Susanna: 64 verses (total 28197)
2026-05-29T07:19:02.370+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Tobit: 248 verses (total 28445)
2026-05-29T07:19:02.441+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Wisdom: 435 verses (total 28880)
2026-05-29T07:19:05.610+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    : 索引构建完成: lxx, 共 28880 节经文, 耗时 14s
2026-05-29T07:19:25.858+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    : 译本 byz: 共 66 卷书，开始索引...
2026-05-29T07:19:26.016+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Genesis: 0 verses (total 0)
2026-05-29T07:19:26.112+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Exodus: 0 verses (total 0)
2026-05-29T07:19:26.179+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Leviticus: 0 verses (total 0)
2026-05-29T07:19:26.276+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Numbers: 0 verses (total 0)
2026-05-29T07:19:26.347+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Deuteronomy: 0 verses (total 0)
2026-05-29T07:19:26.384+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Joshua: 0 verses (total 0)
2026-05-29T07:19:26.416+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Judges: 0 verses (total 0)
2026-05-29T07:19:26.422+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Ruth: 0 verses (total 0)
2026-05-29T07:19:26.468+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] I Samuel: 0 verses (total 0)
2026-05-29T07:19:26.507+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] II Samuel: 0 verses (total 0)
